x,y,snap_a,snap_b,error,chamber
-4.999999050874360,-3.688232917989880,-7,-4,0.2241313029,5
-0.913330203638717,-4.088334244887980,-3,-5,0.4788586460,4
-2.443555342733320,2.133816557303490,-1,3,0.4676783357,2
-2.268945667641940,2.260711495122160,-1,3,0.4089022576,2
0.330377272504861,1.416057317681740,1,2,0.4571663022,2
-0.876548226635537,0.429123801476948,-1,0,0.4465283612,3
-4.030300372520330,0.829832858992345,-4,1,0.4710919659,5
4.194162753500020,2.907823617273760,6,3,0.4352928633,0
-2.731757052185710,-4.278012732763310,-5,-5,0.2375441644,5
3.785348350537290,2.444876075451970,5,3,0.3238733746,0
-1.825822829294860,-3.051222784012390,-4,-4,0.4481145121,5
-3.614445369075970,1.620142754230770,-3,2,0.4014670420,3
-1.432125920194150,0.848017229108176,-1,1,0.0702223972,3
-3.916733662134880,4.786110674164790,-1,6,0.4184107056,2
0.464163749376585,-4.980100498434190,-3,-6,0.5119828320,4
2.958457401341220,4.239323917362370,5,5,0.4673632336,0
1.823431454591440,-0.550337306720797,1,-1,0.4519589367,0
-1.360386642309310,-3.183524030398070,-3,-4,0.4567300220,4
1.309344195691800,-4.852681082411260,-2,-6,0.4622406224,4
-4.508698105809090,-0.289063468993664,-5,0,0.5700309117,5
1.447318990104510,-0.643098336009774,1,-1,0.2290671656,1
-1.478393712609310,3.919686693632640,1,5,0.4110086280,2
4.045233174476630,1.057947679652110,5,1,0.4936061442,0
-4.093143726582490,1.995644801599290,-3,2,0.2795667138,3
2.025134251205450,-4.893226281341650,-1,-6,0.3039670668,4
3.872608219626820,-0.152693813392725,4,0,0.1988568992,0
3.172956661293300,-1.509630267033310,2,-2,0.2817532671,1
0.277252471875925,0.161940650767773,0,0,0.3210820885,0
-0.065089066367771,2.210398275582340,1,2,0.4827555144,2
4.165830363231760,-4.601971116126090,2,-5,0.4307766931,4
4.779793198129240,-2.969375588306390,3,-3,0.4649166173,1
1.741318818270170,-2.502391857376720,0,-3,0.2595963552,4
0.291309489993247,4.818870690710820,3,6,0.4766578692,2
2.829754583871700,3.903756052523490,5,4,0.4714652967,0
-0.974357985507239,2.648441177237700,1,3,0.4770242428,2
2.259668738378070,4.141906720073320,5,5,0.3052638141,2
0.018760544845242,0.310639198512044,0,0,0.3112051891,2
-1.831933330452490,1.056847766336690,-1,1,0.3828745355,3
2.968490292244810,-1.859060719891280,2,-2,0.1308601525,1
4.132690327511340,1.646043249833370,5,2,0.1581266043,0
-1.390550832468860,4.482282041781210,1,5,0.1874307105,2
4.379698204079610,-2.835849527406120,3,-3,0.2664745240,1
4.194571202153720,-2.031342990340070,3,-2,0.3569786596,1
-1.318544607275110,1.526460898232670,0,2,0.3791277854,2
4.343236462604540,4.597748520269980,7,5,0.3101549204,0
3.770252859633620,-0.218189610663910,4,0,0.3168445277,0
-4.428444904651470,3.987481992097060,-2,5,0.3500367782,2
-0.763908660927483,-2.814098903125140,-2,-3,0.3410477748,4
4.418455963142700,0.616562345382556,5,1,0.2624523718,0
1.142014765687660,3.241352825680950,3,4,0.2641689173,2
-3.034067734345060,4.393084518469490,-1,5,0.4701664843,2
4.593084431596200,0.539372840339467,5,1,0.3396566040,0
2.517516293174690,3.368017585047650,5,4,0.4919579943,0
-4.564733046765190,-0.507052049742718,-5,-1,0.3647632606,5
-1.518757934052140,1.942899107746390,-1,2,0.5254054927,2
3.853033970450650,-4.580464381459650,1,-5,0.4327837559,4
-2.328518034698640,2.236399614602440,-1,3,0.4002699402,2
0.139641002364868,3.079525091849220,2,4,0.4091438767,2
3.685952763096840,1.538576665811720,5,2,0.3688602859,0
-4.675848584643600,3.596050069153310,-3,4,0.3499779059,3
-1.376116338346440,1.661408228699480,0,2,0.3826929238,2
4.118395323387070,4.712627796982720,7,6,0.4978087145,0
2.060968649985780,-4.350355568444640,0,-5,0.4394971223,4
-3.228229563182650,-4.150136798766480,-6,-5,0.3259687864,5
4.806305995584210,1.523882679054160,6,2,0.2843436953,0
4.065650075474570,3.509759457675120,6,4,0.0799660615,0
-4.941663841083560,-3.943794793563460,-7,-4,0.4832273304,5
2.439848595010250,-4.494869168651020,0,-5,0.1753800656,4
3.200749640966620,-1.165142924682690,3,-1,0.4231099960,1
-2.570090669138170,-3.209025657282910,-5,-4,0.4998857640,5
-1.309333336206590,0.238994177328977,-1,0,0.3909032229,5
-4.721886646100900,-0.017555686984014,-5,0,0.2786668975,5
-0.257339183775929,-1.446130741940180,-1,-2,0.3846735492,4
2.863196991020750,-2.424144113198750,1,-3,0.4026964478,1
2.166111487331500,-1.549280051243610,1,-2,0.2469780873,1
-4.242945757987680,-4.849803846230800,-7,-6,0.4230602531,5
-1.805440963799510,4.675098769198380,1,5,0.4607599059,2
-4.894400757506470,-4.470696979142560,-7,-5,0.4187026048,5
1.178815804523950,-4.169993864673610,-1,-5,0.3588898362,4
1.357453069357040,0.639964927270557,2,1,0.2672507558,0
3.402787813248610,-3.347014694890280,1,-4,0.4194608079,4
-0.287889832663127,-1.268551504966610,-1,-1,0.4549922914,4
3.195492189115900,1.382157764534760,4,2,0.4008021177,0
-2.360727943342070,0.362813509924541,-2,0,0.5116231935,5
-3.934044140310650,2.825099689957020,-2,3,0.4898305580,3
4.939656267378070,1.422951574394850,6,2,0.3149344408,0
4.722739505126770,-1.326527121161010,4,-2,0.4912462135,0
-2.360903438386880,0.635495916317727,-2,1,0.2692428236,5
-0.230662327757682,4.660834526965370,2,5,0.4265093640,2
-3.304679566932930,-3.409266299701060,-5,-4,0.3095747896,5
1.472417569345620,3.533978732343380,3,4,0.4775575058,2
0.938473063164983,-4.254163509211230,-2,-5,0.4450045864,4
4.781949343841190,-3.112851702298390,3,-4,0.4134278533,1
4.587074274838070,-1.274770588446640,4,-1,0.4179169239,0
-0.492607654221554,1.177039068646470,0,1,0.3111015052,2
2.662374559905770,-3.901085982620230,0,-5,0.4587392599,4
3.083826101936230,1.186570482885570,4,1,0.5253093005,0
0.358857980676314,4.444816340226630,3,5,0.1818645376,2
2.378473759035840,-2.705973449627880,1,-3,0.1625128957,4
-0.949644077045531,-4.355940264132360,-3,-5,0.4503844132,4
